RBP_ID	Family_ID	RSource_ID	Motif_ID	MSource_ID	DBID	RBP_Name	RBP_Species	RBP_Status	Family_Name	RBDs	RBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	RBPSource_Name	RBPSource_URL	RBPSource_Year	RBPSource_Month	RBPSource_Day
T02980_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000007603	Dus3l	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02981_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000009076	Zmat5	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02982_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000015127	Unkl	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02983_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000017478	Zc3h18	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02984_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000018727	Cpsf4l	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02985_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000020721	Helz	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02986_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000020770	Unk	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02987_0.6	F17_0.6	TS19_0.6	M263_0.6	MS1_0.6	ENSMUSG00000021127	Zfp36l1	Mus_musculus	I	CCCH ZF	zf-CCCH	1	0.70	193_18367721	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02988_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000022000	Zc3h13	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02989_0.6	F17_0.6	TS19_0.6	M037_0.6	MS2_0.6	ENSMUSG00000022139	Mbnl2	Mus_musculus	I	CCCH ZF	zf-CCCH	1	0.70	RNCMPT00038	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02990_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000022390	Zc3h7b	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02991_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000027091	Zc3h15	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02992_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000027387	Zc3h8	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02993_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000027582	Zgpat	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02994_0.6	F17_0.6	TS19_0.6	M037_0.6	MS2_0.6	ENSMUSG00000027763	Mbnl1	Mus_musculus	I	CCCH ZF	zf-CCCH	1	0.70	RNCMPT00038	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02995_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000028688	Toe1	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02996_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000029922	Mkrn1	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02997_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000035051	Dhx57	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02998_0.6	F17_0.6	TS19_0.6	M037_0.6	MS2_0.6	ENSMUSG00000036109	Mbnl3	Mus_musculus	I	CCCH ZF	zf-CCCH	1	0.70	RNCMPT00038	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02999_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000036537	Rnf113a1	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03000_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000037965	Zc3h7a	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03001_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000038500	Prr3	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03002_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000038507	Parp12	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03003_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000039220	Ppp1r10	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03004_0.6	F17_0.6	TS19_0.6	M083_0.6	MS2_0.6	ENSMUSG00000039810	Zc3h10	Mus_musculus	I	CCCH ZF	zf-CCCH	1	0.70	RNCMPT00085	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03005_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000040423	Rc3h1	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03006_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000042851	Zc3h6	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03007_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000043432	Leng9	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03008_0.6	F17_0.6	TS19_0.6	M263_0.6	MS1_0.6	ENSMUSG00000044786	Zfp36	Mus_musculus	I	CCCH ZF	zf-CCCH	1	0.70	193_18367721	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03009_0.6	F17_0.6	TS19_0.6	M263_0.6	MS1_0.6	ENSMUSG00000045817	Zfp36l2	Mus_musculus	I	CCCH ZF	zf-CCCH	1	0.70	193_18367721	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03010_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000048439	Nupl2	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03011_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000055452	Gm7353	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03012_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000059273	Zc3h4	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03013_0.6	F17_0.6	TS19_0.6	M263_0.6	MS1_0.6	ENSMUSG00000059334	Zfp36l3	Mus_musculus	I	CCCH ZF	zf-CCCH	1	0.70	193_18367721	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03014_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000070527	Mkrn3	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03015_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000075376	Rc3h2	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T03016_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000075600	Zc3h3	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T06809_0.6	F20_0.6	TS19_0.6	M035_0.6	MS2_0.6	ENSMUSG00000050966	Lin28a	Mus_musculus	I	CCHC ZF,CSD	zf-CCHC,CSD	2	0.70	RNCMPT00036	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T06810_0.6	F20_0.6	TS19_0.6	M035_0.6	MS2_0.6	ENSMUSG00000063804	Lin28b	Mus_musculus	I	CCHC ZF,CSD	zf-CCHC,CSD	2	0.70	RNCMPT00036	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T07005_0.6	F23_0.6	TS19_0.6	.	.	ENSMUSG00000024949	Sf1	Mus_musculus	N	CCHC ZF,KH	zf-CCHC,KH_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T07287_0.6	F25_0.6	TS19_0.6	M085_0.6	MS2_0.6	ENSMUSG00000022635	Zcrb1	Mus_musculus	I	CCHC ZF,RRM	zf-CCHC,RRM_1	2	0.70	RNCMPT00087	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T07288_0.6	F25_0.6	TS19_0.6	M331_0.6	MS1_0.6	ENSMUSG00000024097	Srsf7	Mus_musculus	I	CCHC ZF,RRM	zf-CCHC,RRM_1	2	0.70	790_10094314	SELEX	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T07289_0.6	F25_0.6	TS19_0.6	M050_0.6	MS2_0.6	ENSMUSG00000033760	Rbm4b	Mus_musculus	I	CCHC ZF,RRM	zf-CCHC,RRM_1	2	0.70	RNCMPT00052	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T07290_0.6	F25_0.6	TS19_0.6	M050_0.6	MS2_0.6	ENSMUSG00000056951	ENSMUSG00000056951	Mus_musculus	I	CCHC ZF,RRM	zf-CCHC,RRM_1	2	0.70	RNCMPT00052	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T07775_0.6	F27_0.6	TS19_0.6	.	.	ENSMUSG00000061410	Zcchc14	Mus_musculus	N	CCHC ZF,SAM	zf-CCHC,SAM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10321_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000021494	Ddx41	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10322_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000021621	Zcchc9	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10323_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000029179	Zcchc4	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10324_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000029427	Zcchc8	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10325_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000030057	Cnbp	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10326_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000030779	Rbbp6	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10327_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000031330	Zcchc13	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10328_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000033762	Recql4	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10329_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000034610	Zcchc11	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10330_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000035248	Zcchc6	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10331_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000035649	Zcchc7	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10332_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000038866	Zcchc2	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10333_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000047686	Zcchc5	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10334_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000074682	Zcchc3	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T10335_0.6	F28_0.6	TS19_0.6	.	.	ENSMUSG00000090094	ENSMUSG00000090094	Mus_musculus	N	CCHC ZF	zf-CCHC	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T16520_0.6	F29_0.6	TS19_0.6	.	.	ENSMUSG00000030051	Aplf	Mus_musculus	N	CCHH ZF	zf-CCHH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T16924_0.6	F30_0.6	TS19_0.6	.	.	ENSMUSG00000008393	Carhsp1	Mus_musculus	N	CSD	CSD	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T16925_0.6	F30_0.6	TS19_0.6	M082_0.6	MS2_0.6	ENSMUSG00000018554	Ybx2	Mus_musculus	I	CSD	CSD	1	0.70	RNCMPT00084	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T16926_0.6	F30_0.6	TS19_0.6	M081_0.6	MS2_0.6	ENSMUSG00000028639	Ybx1	Mus_musculus	I	CSD	CSD	1	0.70	RNCMPT00083	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T16927_0.6	F30_0.6	TS19_0.6	M081_0.6	MS2_0.6	ENSMUSG00000030189	Csda	Mus_musculus	I	CSD	CSD	1	0.70	RNCMPT00083	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T16928_0.6	F30_0.6	TS19_0.6	.	.	ENSMUSG00000042109	Csdc2	Mus_musculus	N	CSD	CSD	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T16929_0.6	F30_0.6	TS19_0.6	.	.	ENSMUSG00000068823	Csde1	Mus_musculus	N	CSD	CSD	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19117_0.6	F35_0.6	TS19_0.6	M016_0.6	MS2_0.6	ENSMUSG00000000838	Fmr1	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00016	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19118_0.6	F35_0.6	TS19_0.6	M188_0.6	MS2_0.6	ENSMUSG00000001120	Pcbp3	Mus_musculus	D	KH	KH_1	1	0.70	RNCMPT00215	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19119_0.6	F35_0.6	TS19_0.6	M339_0.6	MS1_0.6	ENSMUSG00000007670	Khsrp	Mus_musculus	I	KH	KH_1	1	0.70	906_17437629	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19120_0.6	F35_0.6	TS19_0.6	.	.	ENSMUSG00000018428	Akap1	Mus_musculus	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19121_0.6	F35_0.6	TS19_0.6	M020_0.6	MS2_0.6	ENSMUSG00000018765	Fxr2	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00020	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19122_0.6	F35_0.6	TS19_0.6	.	.	ENSMUSG00000020116	Pno1	Mus_musculus	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19123_0.6	F35_0.6	TS19_0.6	M323_0.6	MS1_0.6	ENSMUSG00000021047	Nova1	Mus_musculus	I	KH	KH_1	1	0.70	680_9789075	SELEX	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19124_0.6	F35_0.6	TS19_0.6	M026_0.6	MS2_0.6	ENSMUSG00000021546	Hnrnpk	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00026	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19125_0.6	F35_0.6	TS19_0.6	M033_0.6	MS2_0.6	ENSMUSG00000022332	Khdrbs3	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00034	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19126_0.6	F35_0.6	TS19_0.6	M188_0.6	MS2_0.6	ENSMUSG00000023495	Pcbp4	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00215	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19127_0.6	F35_0.6	TS19_0.6	M002_0.6	MS2_0.6	ENSMUSG00000024483	Ankhd1	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00002	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19128_0.6	F35_0.6	TS19_0.6	M176_0.6	MS2_0.6	ENSMUSG00000026058	Khdrbs2	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00185	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19129_0.6	F35_0.6	TS19_0.6	.	.	ENSMUSG00000026843	Fubp3	Mus_musculus	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19130_0.6	F35_0.6	TS19_0.6	M152_0.6	MS2_0.6	ENSMUSG00000027680	Fxr1	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00161	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19131_0.6	F35_0.6	TS19_0.6	M339_0.6	MS1_0.6	ENSMUSG00000028034	Fubp1	Mus_musculus	I	KH	KH_1	1	0.70	906_17437629	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19132_0.6	F35_0.6	TS19_0.6	M060_0.6	MS2_0.6	ENSMUSG00000028790	Khdrbs1	Mus_musculus	D	KH	KH_1	1	0.70	RNCMPT00062	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19133_0.6	F35_0.6	TS19_0.6	M326_0.6	MS1_0.6	ENSMUSG00000030411	Nova2	Mus_musculus	D	KH	KH_1	1	0.70	685_18978773	CLIP-seq	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19134_0.6	F35_0.6	TS19_0.6	.	.	ENSMUSG00000034088	Hdlbp	Mus_musculus	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19135_0.6	F35_0.6	TS19_0.6	M122_0.6	MS2_0.6	ENSMUSG00000037253	Mex3c	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00129	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19136_0.6	F35_0.6	TS19_0.6	.	.	ENSMUSG00000041912	Tdrkh	Mus_musculus	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19137_0.6	F35_0.6	TS19_0.6	.	.	ENSMUSG00000044475	Ascc1	Mus_musculus	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19138_0.6	F35_0.6	TS19_0.6	M122_0.6	MS2_0.6	ENSMUSG00000048696	Mex3d	Mus_musculus	I	KH	KH_1	1	0.70	RNCMPT00129	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19139_0.6	F35_0.6	TS19_0.6	.	.	ENSMUSG00000049815	4921511C20Rik	Mus_musculus	N	KH	KH_1	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T19140_0.6	F35_0.6	TS19_0.6	M207_0.6	MS2_0.6	ENSMUSG00000051695	Pcbp1	Mus_musculus	D	KH	KH_1	1	0.70	RNCMPT00239	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
